n,h,energy,transient,c,seed_J,seed_x,not_converged,c1,c2,clarge
1000,0.1,-0.708908828271448,747.5,1.0,49083.5,52191.5,0.0,1.0,0.0,0.0
1000,0.3538461538461538,-0.7062735424239178,129.0,2.0,44606.5,51654.0,0.0,0.0,1.0,0.0
1000,0.6076923076923076,-0.7070297425883916,101.0,2.0,57500.0,50235.0,0.0,0.0,1.0,0.0
1000,0.8615384615384615,-0.7021734643360609,137.0,2.0,56155.0,53676.5,0.0,0.0,1.0,0.0
1000,1.1153846153846154,-0.6918749213431243,281.5,4.0,55419.0,55004.0,0.0,0.0,0.0,1.0
1000,1.3692307692307693,-0.6673207499464193,442.5,4.0,50797.5,47847.5,0.0,0.0,0.0,1.0
1000,1.623076923076923,-0.6317284446416772,967.0,6.0,48673.0,52461.5,0.0,0.0,0.0,1.0
1000,1.876923076923077,-0.5733525040007141,1586.5,10.0,49486.5,50595.5,0.0,0.0,0.0,1.0
1000,2.1307692307692307,-0.49685314079252585,5699.5,16.0,47201.0,47479.5,0.0,0.0,0.0,0.0
1000,2.3846153846153846,-0.4028174891583928,7814.0,50.0,48336.5,48882.5,0.0,0.0,0.0,0.0
1000,2.6384615384615384,-0.29422696306056717,8477.0,28.0,46031.0,54047.0,0.0,0.0,0.0,0.0
1000,2.8923076923076922,-0.16250815485338277,3294.5,22.0,47572.5,39238.5,0.0,0.0,0.0,1.0
1000,3.146153846153846,-0.06783173190681226,427.0,8.0,48180.5,48314.5,0.0,0.0,0.0,1.0
1000,3.4,-0.023980082250991706,149.5,4.0,50283.5,45125.0,0.0,0.0,0.0,1.0
1000,3.6538461538461537,-0.021573362629808038,70.0,2.0,43244.5,49666.0,0.0,0.0,1.0,0.0
1000,3.9076923076923076,-0.017416174977888207,59.0,2.0,45540.0,52959.0,0.0,0.0,1.0,0.0
1000,4.161538461538461,0.0008202334970179861,49.0,2.0,47362.0,47114.0,0.0,0.0,1.0,0.0
1000,4.415384615384615,-0.0006437860518682387,51.0,2.0,57487.0,50672.0,0.0,0.0,1.0,0.0
1000,4.669230769230769,-0.019450992849051066,49.0,2.0,50154.0,51792.0,0.0,0.0,1.0,0.0
1000,4.9230769230769225,0.012826038369858617,49.0,2.0,49748.0,57893.5,0.0,0.0,1.0,0.0
1000,5.176923076923076,0.0020039051156446356,45.0,2.0,50973.5,48555.5,0.0,0.0,1.0,0.0
1000,5.43076923076923,0.0014642371923743046,49.0,2.0,54568.5,47789.0,0.0,0.0,1.0,0.0
1000,5.684615384615384,0.002768871688651356,47.0,2.0,49263.5,43487.5,0.0,0.0,1.0,0.0
1000,5.938461538461538,-0.00310029749513787,47.0,2.0,54355.0,47866.5,0.0,0.0,1.0,0.0
1000,6.192307692307692,-0.016489492133185575,49.0,2.0,50104.0,56638.5,0.0,0.0,1.0,0.0
1000,6.4461538461538455,-0.013822772430925476,49.0,2.0,51752.5,51457.0,0.0,0.0,1.0,0.0
1000,6.699999999999999,-0.005336051666552596,47.0,2.0,51940.0,49174.5,0.0,0.0,1.0,0.0
1000,6.953846153846153,0.013030123287722229,47.0,2.0,52042.0,44902.5,0.0,0.0,1.0,0.0
1000,7.207692307692307,0.006869907737553184,47.0,2.0,52130.0,43881.5,0.0,0.0,1.0,0.0
1000,7.461538461538461,-0.0026655054299389727,48.0,2.0,47096.5,52153.5,0.0,0.0,1.0,0.0
1000,7.715384615384615,-0.013770722343671167,47.0,2.0,53018.5,45821.5,0.0,0.0,1.0,0.0
1000,7.9692307692307685,0.0034237965052041656,49.0,2.0,52024.5,52644.5,0.0,0.0,1.0,0.0
1000,8.223076923076922,-0.016206220871627916,47.0,2.0,46900.5,51521.5,0.0,0.0,1.0,0.0
1000,8.476923076923077,-0.01127781435183587,49.0,2.0,54134.0,41872.0,0.0,0.0,1.0,0.0
1000,8.73076923076923,-0.006493161449705414,47.0,2.0,49519.5,48851.5,0.0,0.0,1.0,0.0
1000,8.984615384615383,0.01211762135094048,51.0,2.0,47149.5,50043.0,0.0,0.0,1.0,0.0
1000,9.238461538461538,-0.008081081879045255,47.0,2.0,52511.5,47857.0,0.0,0.0,1.0,0.0
1000,9.492307692307692,-0.008547795754013945,47.0,2.0,48322.5,46102.0,0.0,0.0,1.0,0.0
1000,9.746153846153845,0.013871899946469902,50.0,2.0,53769.5,44570.5,0.0,0.0,1.0,0.0
1000,10.0,0.009176009184384926,49.0,2.0,47632.0,45523.0,0.0,0.0,1.0,0.0
